title;link;numero_offre;location;description;company;note;salary;publication_date;date_actualisation;latitude;longitude;duration_contrat
Data scientist/Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172742239W;172742239W;Vélizy-Villacoublay - 78;Nous cherchons :  Bac +4 en école d'ingénieur ou un master 2 avec une spécialisation en informatique / data Science / IA / statistiques .  Expérience de minimum 3 ans sur les projets de Data science/Data Analyst.  Maîtrise de plusieurs langage parmi : Python, Spark, SQL .  Tres b...;INNOVAI TEK;46.4499;45 - 55 k€ brut annuel;2024-01-03T23:05:23.000+0000;2024-01-03T23:05:23.000+0000;('48.7838513',);('2.1973528',);0
Data Analyst / Data engineer F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172631521W;172631521W;Paris 09 - 75;Auprès d'un de nos clients dans l'univers de la Finance de Marché, vous interviendrez en tant que data engineer ou data analyst. Dans ce cadre, vos principales missions seront les suivantes :  Comprendre les besoins des utilisateurs et les traduire de manière analytique  Identifi...;VR CONSEIL;44.460766;45 - 75 k€ brut annuel;2023-12-14T15:48:38.000+0000;2023-12-14T15:48:38.000+0000;('48.8771639',);('2.3374635',);0
Business Data Analyst - Data Wranglers F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172685127W;172685127W;Puteaux - 92;Le profil de Data Analyst en Risque de Crédit sera positionné dans l'équipe data du département « Modèle » (RISQ/MDL) de la Direction des Risques.  Notre équipe collecte, organise et évalue les données de manière à alimenter efficacement les modèles de risque de crédit.  Elle fou...;Meteojob;41.52003;A négocier;2023-12-22T00:59:04.000+0000;2023-12-22T00:59:04.000+0000;('48.8836138',);('2.2387286',);0
Data Engineer F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172601750W;172601750W;Paris 08 - 75;Vous intégrez l'équipe Datahub de l'entreprise composée d'un Lead Data Engineer, 3 Data Engineers et une Product Manager.  Missions principales :  Créer de nouveaux jeux de données pour répondre aux besoins métiers et faire évoluer les jeux de données existants  Programmer, autom...;CARAZ;40.82524;60 - 70 k€ brut annuel;2023-12-11T11:46:58.000+0000;2023-12-11T11:46:58.000+0000;('48.8727215',);('2.312556',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172744615W;172744615W;Villeneuve-d'Ascq - 59;Nous recherchons un Data Analyst F/H pour pour notre Direction Connaissance clients et Data Intelligence sur Villeneuve-d'Ascq  La Direction Connaissance clients & Data Intelligence, a pour objectif d'accompagner les directions métier e-commerce, animation commerciale, la directi...;Hellowork;40.46724;A négocier;2024-01-04T01:02:13.000+0000;2024-01-04T01:02:13.000+0000;('50.6324675',);('3.1531138',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172494489W;172494489W;Paris 02 - 75;Les tâches proposées ?  Sous la supervision du Directeur des services, vous intégrez une équipe de purs players de la BI, basée en Île-de-France. Vous participez à toutes les phases de mise en œuvre d une application décisionnelle de BI agile et êtes amené à :  Analyser l'existan...;MYDRAL;40.180744;40 - 45 k€ brut annuel;2024-01-04T12:50:45.000+0000;2024-01-04T12:50:45.000+0000;('48.8682774',);('2.3427972',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172620110W;172620110W;Lille - 59;Tu souhaites rejoindre une communauté Data Addict à taille humaine ?  Nous recherchons un Data Analyst F/H qui aura un rôle à part entière dans la communauté CENISIS.  Nous t'apportons l'opportunité d'intervenir sur un large choix de projets mais également de faire partie de la C...;CENISIS;40.037704;A négocier;2023-12-13T09:49:39.000+0000;2023-12-13T09:49:39.000+0000;('50.6318417',);('3.0469999',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172757744W;172757744W;Boulogne-Billancourt - 92;Exomind recrute notre futur Data Analyst pour réaliser les missions suivantes :  Traiter, analyser et faire parler les données.  Mise en place d'algorithmes pour établir des prédictions.  Collaboration avec différents services pour analyse des données.  Force de proposition sur l...;Exomind;40.00592;A partir de 40 k€ brut annuel;2024-01-05T10:34:41.000+0000;2024-01-05T10:34:41.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172679306W;172679306W;Cluses - 74;In line with our 2030 ambition and the digitalization of our business models, we are recruiting within the Data Excellence team a Data Analyst. You will participate (depending on your competencies) in projects and/or activities aiming to implement Group Databases and to maintain ...;SOMFY ACTIVITES SA;39.810352;A négocier;2023-12-21T09:56:01.000+0000;2023-12-21T09:56:01.000+0000;0;0;0
Data Scientist F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172620622W;172620622W;Toulouse - 31;Nous recherchons un(e) Data Scientist(H/F) pour rejoindre nos équipes.    Votre rôle consistera à développer des modèles, effectuer des tests unitaires, participer aux phases de test et de mise en service, rédiger de la documentation technique, et communiquer efficacement avec le...;MP DATA;39.80905;A partir de 40 k€ brut annuel;2023-12-18T11:13:04.000+0000;2023-12-18T11:13:04.000+0000;('43.596013',);('1.4321019',);0
